"How to subset a data.frame with brackets [] while using conditions?","by introducing conditions in normal brackets. E.g.
 dataframe[( dataframe$col1  ),]"
"How to deal with NA values when subset a dataframe with conditions using brackets []?","Use the  which()  command. E.g.:
dataframe[which(dataframe$col2 > 8),]"
"How to sort data in decreasing order while putting na values last?","sort(data,decreasing=TRUE, na.last=TRUE)"
"How to order a dataframe by multiple columns?","dataframe[order(dataframe$col1, dataframe$col2),]"
"How to sort data in descending order while using the plyr package?","arrange( dataframe, desc(col1) )"
"How to show the numbers of NA value while using table()?","add useNA=""ifany"" parameter. E.g.
table(restData$zipCode,useNA=""ifany"")"
"Which function tells you TRUE/FALSE as to whether there are any missing values (NA) in a column of a dataframe?","any(is.na( dataframe$col ))"
"Which function tells you TRUE/FALSE as to whether there are any missing values (NA) in all columns of a dataframe?","all(colSums(is.na( dataframe ))==0)"
"How to show with the table() command how many times two values occur in a column?","table( dataframe$col1  %in% c( ""value1"", ""value2"" ))"
"How to subset a dataframe using the brackets [] where two values occur in a specific column?","dataframe[ dataframe$col1  %in% c( ""value1"",""value2"" ),]"
"How to display a value by two other variables?","Cross tabs!
xtabs( value  ~  variable1 + variable2,  data= dataframe )"
"How to show the size of a data set?","print(object.size( dataset ), units=""Mb"")"
"How to create a sequence of values from 1 to 10 increasing by 2 per value? And what is the result?","seq(1,10,by=2)
Result: 1 3 5 7 9"
"How to create a value sequence from 1 to 10 with a specified number of values?","seq(1, 10, length=number)"
"How to create an index sequence of an existing value sequence?","seq(along =  existingsequence )"
"How to add a new column to a dataframe?","By simply defining a new column. E.g.
dataframe$newcolumn = dataframe$existingcolumn %in% c(""hulu"",""mubu"")"
"How to create binary variables (a new column whose values are based on another column's values)?","dataframe$newcolumn =  ifelse( dataframe$existingcolumn  )"
"How to create categorical variables (a factor column applying to an existing column)?","cut( dataframe$column , breaks=quantile( dataframe$column ))"
"Which package offers an easier way to cut variables into groups (create a categorical variable)?","the Hmisc package
-->  cut2( dataframe$column , g= number )"
"How to create factor variables based on unique values in a column?","dataframe$newfactorcolumn  factor( dataframe$column )"
"What does the mutate() function do?","It allows to create a new factor column more easily:
newdataframe =  mutate( olddataframe ,  newcolumn =cut2( column ,g= number ))"
"What are the characteristics of tidy data?","Column = variable
row = observation
table/file = one kind of observation"
"How to reshape data?","You can melt a dataset E.g.
melt(dataframe, id=c(""idvariable1"",""idvar2""), measure.vars=c(""measure1"",""measure2""))

--> there will be one observation per variable. One row for each measure1 and one for each measure2."
"How to recast melted data frames?","In order to show the number of observations per id, you can use  dcast( melteddf ,  idvariable  ~ variable) 

You can also apply certain operations directly :  dcast( melteddf ,  idvariable  ~ variable, mean)"
"Which are the five basic functions provided by dplyr?","arrange  = reorder rows of a data frame
 filter  = extract a subset of rows based on logical conditions
 select  = return a subset of the columns of a data frame
 mutate  = add new variables/columns or transform existing variables
 rename  = rename variables in a data frame
 summarise  = generate summary stats"
"How to use the filter() function provided by dplyr package?","filter( dataframe ,  logicalcondition )"
"Dplyr: How to reorder a dataset by the variable ""date"" in descending order?","arrange( dataframe , desc(date))"
"Dplyr: How to rename columnnames?","rename( dataframe ,  newname1 = oldname1, newname2 = oldname2 )"
"How to merge dataframes?","merge( xdatafr ,  ydatafr ,  by.x=""indexvarinx"" ,  by.y=""indexvariny"" ,  all=TRUE/FALSE )  --> if the names of the respective indexcolumns are different. Else, you can use by=""commonvarname""."
"What is a good alternative to merge() function when merging dataframes?","the join() function! E.g.  join( dataf1 ,  dataf2 ,  id ) 
--> id is the common index column"
"How to merge several dataframes with a common id column?","List them first :  list( dataframe1, dataframe2, dataframe3 ) 
 Then merge them :  join_all( dflist )"
